127.0.0.1 - - [25/Nov/2022:18:47:16 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/Login.jsp HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 200 70815
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/css/style.css HTTP/1.1" 200 19733
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/images/pic1.jpg HTTP/1.1" 200 822106
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/images/cec2.png HTTP/1.1" 200 17880
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/images/cec.png HTTP/1.1" 200 17772
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/images/insta.jpg HTTP/1.1" 200 11308
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/images/facebook.png HTTP/1.1" 200 3548
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/images/LinkedIn.png HTTP/1.1" 200 18939
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/images/Pinterest.png HTTP/1.1" 200 33426
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/images/twitter.png HTTP/1.1" 200 26244
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/js/main.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/vendor/jquery/jquery.min.js HTTP/1.1" 404 814
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-300italic.eot? HTTP/1.1" 200 10018
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-300.eot? HTTP/1.1" 200 8696
0:0:0:0:0:0:0:1 - - [25/Nov/2022:18:47:18 +0530] "GET /EVENT_MANAGAMENT_SYSTEM/fonts/poppins/poppins-v5-latin-italic.eot? HTTP/1.1" 200 10007
